id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
443,Nuuksion koulu,"Heinästie 19, 02820 Espoo, Finland","Heinästie 19, FI-02820 Espoo, Finland",address,60.26222,24.56287,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,"Olen aloittanut vasta elokuussa Nuuksion koulussa, eikä minulla ole tietoa aiemmista tutkimuksista. Terveystarkastaja kiersi luokat lokakuussa ja silloin ei havaittu mitään.",,,,,,,,1952,63
444,Mäntykallion koulu,"Koivutie 28, 42300 Jämsänkoski","Koivutie 28, FI-42300 Jämsä, Finland",address,61.92536,25.1726,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Sisäilmaongelmaa tutkitaan parhaillaan sisäilmatyöryhmän ohjauksella. Ongelman laatu ja laajuus selvinnevät marras-joulukuun aikana tutkimusten valmistuttua.,Rakennuksen kuntotutkimuksella,Tutkimustulokset valmistunevat marraskuun loppuun mennessä.,2014,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,En osaa sanoa,"Näistä asioista tietää Jämsän kaupungin tilapalvelut parhaiten. Vanha, 10 vuotta sitten täysremontoitu 1950 -luvulla rakennettu koulukiinteistö, jossa on luokkakohtainen ilmanvaihtokoneisto yms. Tutkimukset ovat kesken. Ensimmäinen pienempi tutkimus ( marraskuussa 2014 ) johti korjaustoimiin kesällä 2015. Korjaustoimien jälkeen tilanne on opetuksen järjestäjän näkemyksestä mennyt heikompaan suuntaan. Uusin tutkimus on marraskuussa 2015.",1952,236
445,Keskustan alakoulu,"Myllykatu 3a, 29200 Harjavalta","Myllykatu 3a, FI-29200 Harjavalta, Finland",address,61.31457,22.15033,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulussa on useampaan kertaan tehty sisäilmatutkimuksia. Kosteusvaurioita on korjattu vuosien mittaan eri kohteissa.<br />Rakennusvuosi 1949, laajennus 1988.",Sisäilmanlaadun tutkimuksilla,"Peruskorjauksen tarve on selvä, sitä ennen on tarkoitus tehdä rakennuksen kuntokartoitus. Ajankohta ei ole vielä selvillä.",2001,Kyllä,Kyllä,Kyllä,0 – 10 000 €,En osaa sanoa,"Koulurakennus on vanhalta osaltaan tehty 1949 ja uudempi lisärakennus auditorioineen 1988. Vanhalla puolella painovoimainen ilmanvaihto, uudemmalla puolella koneellinen ilmanvaihto. Näiden yhteensovittaminen vaikeaa. <br />Uusimmat tutkimustulokset maaliskuulta 2015, korjaustöitä aloitettu marraskuussa 2015.<br />Kysymyksen 6 korjaustöiden hinta-arvio on todella vain arvio!",1949,302
446,Sjundeå Svenska Skola,"Skolvägen 3, 02580 Sjundeå, Finland","Skolvägen 3, FI-02580 Sjundeå, Finland",address,60.13683,24.22965,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Koulu on rakennettu 1970 lisärakennettu kahteen kertaan. Uteen osaan on äsken tehty sisäilma tutkimus. Vanhassa osassa oli kusteusvaurio noin viisi vuotta sitten, se on sevitetty ja korjattu ja jälkitarkastettu.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1970,183
447,Värtsilän koulu,"Värtsiläntie 119b, 82675 Niirala","Värtsiläntie 119b, FI-82675 Tohmajärvi, Finland",address,62.17987,30.6135,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Sisäilmanlaadun tutkimuksilla,,,,,,,,,1986,38
448,Ketolanperän koulu,"Luonungintie 13, 90450 Kempele","Luonungintie 13, FI-90450 Kempele, Finland",address,64.8678,25.5881,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulussa on 2 rakennusta, joista vanhemmassa (rak 1938)on todettu lämpötilaan ja ilmanvaihtoon liittyviä ongelmia ja korjauksia on toteutettu. Myös vesivahinko on joskus ollut. Vanhaa rakennusta on saneerattu 1970-luvulla ja lisäksi 2000 -luvun alussa. Vanhempi rakennus on sen verran iäkäs, että minulla ei ole ollut saatavilla tarkkoja tietoja kaikista korjausvaiheista.<br /><br />Suurin osa koulun toiminnoista sijoittuu uudempaan vuonna 1993 rakennettuun rakennukseen, jossa ei ole tietääkseni ilmennyt ongelmia. ",Rakennuksen kuntotutkimuksella,- Vanhempaan rakennukseen kunto- ja käyttökelpoisuusarvio tehty v. 1989.,,En osaa sanoa,En osaa sanoa,Kyllä,0 – 10 000 €,En osaa sanoa,,1938,77
449,Vinkkilän koulu,"Vinkkiläntie 27, 23200 Vinkkilä","Vinkkiläntie 27, FI-23200 Vehmaa, Finland",address,60.68364,21.70662,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Epäilyjä, selvitettäviä asioita. Koulu rakennettu useassa osassa 1962, 1969, 1995, 1999",Rakennuksen kuntotutkimuksella,Menossa,2014,En osaa sanoa,Kyllä,Ei,0 – 10 000 €,Ei,"Asiat kesken, tulosten tultua ryhdytään toimenpiteisiin, joiden kustannukset liittyvät ongelmien laajuuteen.",1962,74
450,Ylijoen koulu,"Lahdenkankaantie 483,  63230 Lentilä","Lahdenkankaantie 483, FI-63230 Kuortane, Finland",address,62.70542,23.53719,kosteus- ja homeongelma,,"Kosteusarvot ollut koholla rakenteissa lähinnä betonivalussa ja seinän alaosassa. Vauriota on korjattu, mutta uusia sisäilmamittauksia ei ole sen jälkeen tehty.",Sisäilmanlaadun tutkimuksilla,Pintamittauksilla.<br />Ensi talvena on tarkoitus pitää sisäilmamittauksia.,2013,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,"Mittaustulosten yksiselitteisyyttä ja kansan kielistä loppuraporttia harvoin näkee.<br />Kyläpoliitiikka vaikuttaa vahvasti koulujen kunnon arvioimiseen.<br />Esim. Valtuusto päättää "" huonokuntoisimpien"" koulujen sulkemisista.<br />Sinänsä esteitä ei ole rakennuksen kuntoon saattamisessa ollut, mutta<br />on hyvin epävarmaa kyetäänkö kosteusvaurioita perusteellisesti poistamaan millään keinoin.",1989,57
451,Kapellby skola,"Lappträskvägen 45, 07800 Lappträsk","Lappträskvägen 45, FI-07800 Lappträsk, Finland",address,60.62711,26.20478,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1956,80
452,Ylikylän koulu,"Yikyläntie 23, 96800 Rovaniemi","Ylikyläntie 23, FI-96800 Rovaniemi, Finland",address,66.52809,25.68622,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Rakenteiden läpivienneissä ja tiiviydessä puutteita,Muulla kuntoarviolla,,,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,En osaa sanoa,,1957,405
453,Huutjärven koulu,"Huutjärventie 56, Huutjärvi","Huutjärventie 56, FI-49210 Pyhtää, Finland",address,60.4889,26.7444099,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Sisäilmanlaadun tutkimuksilla,,,,,,,,,2007,487
454,Kurjalan koulu,Kurjalanrannantie 1230 a 79255 Kurjala,"Kurjalanrannantie 1230a, FI-79255 Leppävirta, Finland",address,62.54454,28.1063,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Lämminvesiputki on vuotanut lattiassa pari kertaa. Vahingot korjattiin hyvin.,Sisäilmanlaadun tutkimuksilla,"Esikoulun tiloissa (erillinen rakennus samassa pihapiirissä) on tehty sisäilmatutkimus 2000-luvun alussa. Koulun puolella myös ""laskeuma""-tutkimus samoihin aikoihin.<br />Koulun liikuntasalin ilmanvaihtoa on tutkittu 1990-luvulla.<br /><br />",1990,Ei,Ei,Ei,,En osaa sanoa,,1966,32
455,Suttilan koulu,"Erkkiläntie 8-10, 32760 Suttila, Finland","Erkkiläntie 8, FI-32760 Huittinen, Finland",address,61.16436,22.79225,kosteus- ja homeongelma,,Jouduimme väistötiloihin 2012 alusta ja palasimme uuteen kouluun syksyllä 2014. Vanha koulu purettiin kokonaan jatilalle rakennettiin uusi.,Rakennuksen kuntotutkimuksella,"Kuntotutkimus antoi hyvin selkeän kuvan sisäilmaongelmasta, jonka seurauksena koulu suljettiin 2011 syyslukukauden lopussa.",2011,Ei,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Kyllä,,2014,46
456,Koskenmäen koulu,Ketolanmäenkatu 2 37120 Nokia,"Ketolanmäenkatu 2, FI-37120 Nokia, Finland",address,61.46046,23.49435,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Sisäilman laatu ja lämpötilat vaihtelevat. Ilmastointi on poissa viikonloput ja arkipäivisin klo 15.30.<br /><br />Laajennusosa valmistui 2008, koko talon saneeraus 2009.",Ei millään em. tavalla,Sisäilmatyöryhmä on kiertänyt koulussa.,2009,En osaa sanoa,En osaa sanoa,Ei,0 – 10 000 €,Ei,Henkilövaihdosten vuoksi tietoa asiasta ei ole.,1951,442
457,Lausteen koulu,"Raadink. 7, 20750  TURKU","Raadinkatu 7, FI-20750 Turku, Finland",address,60.43186,22.3598399,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1976,169
458,Honganpalon koulu,Metsätorinkatu 14 92160 Saloinen,"Metsätorinkatu 14, FI-92160 Raahe, Finland",address,64.64546,24.47802,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1985,157
459,Kirkonkylän koulu,"Koulukuja 1, 18300 Heinola","Koulukuja 1, FI-18300 Heinola, Finland",address,61.24464,26.05903,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Varsinkin talvisin ilma koulun sisätiloissa on liian kuivaa. Osa koulun lattialaatoista on vaihdettu uusiin. vanha puoli on rakennettu 1956 ja uusi 1985.,Rakennuksen kuntotutkimuksella,,,,,,,,,1985,174
460,Nuijamaan koulu,"Pihkalanjärventie 8, 54230 Nuijamaa","Pihkalanjärventie 8, FI-54230 Lappeenranta, Finland",address,60.96146,28.53661,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella,,2013,Ei,Kyllä,Ei,0 – 10 000 €,Ei,Rahoituksen ja kiinteistön kuntoluokka.,1976,28
461,Laanilan yläaste,"Hintantie 66, 90650 Oulu","Hintantie 66, FI-90650 Oulu, Finland",address,65.02403,25.5209,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Vanhoja luokkia tutkittu ja rakenteita tarkistettu. Voi olla kyseessä kosteus- ja homeongelma.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2014,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,"Ei ole ollut esteitä, on vaatinut tilajärjestelyjä. ",1961,302
462,Kasurilan koulu,"Pihlajapolku 2, 71800 Siilinjärvi","Pihlajapolku 2, FI-71800 Siilinjärvi, Finland",address,63.04558,27.70213,kosteus- ja homeongelma,,Vuonna 2006 havaittiin kosteusongelmia.<br />Kosteusvauriot on korjattu ja tilanne on nyt hyvä.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2006,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,Ei ongelmia. Kunta aloitti välittömästi korjaukset.,1997,180
463,siivikkalan koulu,"Siivikkalantie 56, 33450 Ylöjärvi, Finland","Siivikkalantie 56, FI-33450 Ylöjärvi, Finland",address,61.5506,23.66967,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,Uusi koulu,,,,,,,,2014,306
464,Rajatorpan koulu,"Vapaalnpolku 13, 01650 Vantaa","Vapaalanpolku 13, FI-01650 Vantaa, Finland",address,60.25873,24.8248,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kolme erillistä rakennusta (1a-c), joissa kaikissa sisäilmaan liittyviä epäilyjä, myös todettuja.<br />1a 1948<br />1b 1966<br />1c 1983",Rakennuksen kuntotutkimuksella,"Kevään ja kesän 2015 aikana tehty tarveselvitystä tulevaa osittaista peruskorjausta varten. Epäilyt vahvistettu silloin todeksi, myös epäilyjä laajemmin.",1990,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,"Vahvimmat epäilyt ovat kohtuullisen tuoreita, ensimmäiset epäilyt ovat jo vanhoja. Aiemmat ilmoitukset ovat edenneet hitaasti, osin korjattu. Tällä hetkellä sisäilmaepäilyjen ilmoitusten hoidot jonossa useista koulusita tulleiden ilmoitusten vuoksi.",1948,250
465,Naakan yläkoulu,"Kaapelintie 18, 37600 Valkeakoski","Kaapelintie 18, FI-37600 Valkeakoski, Finland",address,61.2534,24.04223,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,"- Rakennusteknisessä tarkastuksessa on todettu, että koulun ilmastointijärjestelmä on jonkinn verran alitehoinen.<br />- Sen takia oppilaat mm. menevät välitunnilla ulos.",,,,,,,,1986,320
466,Kuusimäen koulu,Katajakatu 10 53810 Lappeenranta,"Katajakatu 10, FI-53810 Lappeenranta, Finland",address,61.04821,28.13235,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1980,106
467,Kuusikon koulu,"Hovitie 11, 01380 Vantaa","Hovitie 11, FI-01380 Vantaa, Finland",address,60.28301,25.06453,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"- keittiössä on ollut mikrobimittauksia, ei löydöksiä<br />- remontoidaan kesällä 2016<br /><br />Kuusikon koulu on rakennettu 1963, laajennus osa on valmistunut 1986",Sisäilmanlaadun tutkimuksilla,- mikrobimittaukset,2014,Ei,Kyllä,Ei,0 – 10 000 €,Ei,"-ongelma on ollut aika pieni, tuntuu, että hitaanlaisesti hommat etenevät<br />- remontti luvattu kesälle 2016, mikä on oikein sopiva ajankohta koulun kannalta, koska keittiötä ja ruokasalia voidaan käyttää esteettä",1963,265
468,Voisalmen koulu,"Voisalmentie 19, 53920 Lappeenranta, Finland","Voisalmentie 19, FI-53920 Lappeenranta, Finland",address,61.08114,28.1495,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Rakennus 1 on rakennettu vuonna 1970<br />Rakennus 2 on rakennettu vuonna 1978,Rakennuksen kuntotutkimuksella,,2010,Kyllä,Kyllä,Kyllä,,En osaa sanoa,,1970,247
469,Telakkakadun koulu,"Telakkakatu 15, 44200 Suolahti","Telakkakatu 15, FI-44200 Äänekoski, Finland",address,62.56277,25.8701,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Koulurakennus on äskettäin remontoitu kokonaan.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,,,,,,,,,2012,342
470,Ylämaan koulu,"Aapistie 1, 54410 Ylämaa","Aapistie 1, FI-54410 Lappeenranta, Finland",address,60.79245,28.0061,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Sisäilmanlaadun tutkimuksilla,,,,,,,,,1994,71
471,Kotkansaaren koulu,"Keskuskatu 28, 48100 Kotka, Finland","Keskuskatu 28, FI-48100 Kotka, Finland",address,60.46208,26.9333,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2013,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Ei,"Raha ja väistötilojen puute, yhteistyö eri osapuolten kanssa",1929,450
472,Palosaaren koulu,"Wolffintie 25, 65200 Vaasa","Wolffintie 25, FI-65200 Vaasa, Finland",address,63.10707,21.59282,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Viimeisin peruskorjaus on vuodelta 1993,Ei millään em. tavalla,"Kukaan ei ole valittanut sisäilmasta. Meille on siirretty henkilökuntaa, jotka eivät voi työskennellä toisissa kouluissa. Meillä he ovat voineet hyvin ja pystyneet olemaan töissä jopa ilman lääkkeitä.<br /><br />Terveydellisten olojen tarkistuksissa sisäilma on todettu hyväksi. Mitään mittauksia ei mielestäni ole tehty.",,,,,,,,1896,100
473,Storgårdin koulu,Pajbakantie 1 21600 Parainen,"Pajbakantie 1, FI-21600 Parainen, Finland",address,60.30102,22.29162,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1920,20
474,Pattasten koulu,"Rännärintie 3, 92140 Pattijoki, Finland","Rännärintie 3, FI-92140 Raahe, Finland",address,64.6918,24.56325,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ilmastoinnin riittämättömyys (koulurakennus rakennettu useassa vaiheessa)<br />yläkoulu rakennettu 1977, peruskorjaus 2005, alakoulu (ns uusi osa) 2006",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2014,Ei,Kyllä,Ei,10 000 – 100 000 €,Ei,,1977,576
475,Ali-Keravan koulu,"Jokelantie 6, 04520 Kerava","Jokelantie 6, FI-04250 Kerava, Finland",address,60.39793,25.11563,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ali-Keravan koulu 1890<br />Ali-Keravan koulu, piharakennus 1926",Rakennuksen kuntotutkimuksella,,2013,Ei,Ei,Ei,100 000 – 1 000 000 €,Ei,,1890,73
476,Svenskbacka skola,Kannistonkatu 5. 04260 Kerava,"Kannistonkatu 5, FI-04260 Kerava, Finland",address,60.39129,25.09454,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1974,38
477,Keskuskoulu,"Sibeliuksentie 6, 04200 Kerava","Sibeliuksentie 6, FI-04200 Kerava, Finland",address,60.40665,25.10154,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Muulla kuntoarviolla,,,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,ei ole ollut,1940,339
478,Keravanjoen koulu Lapilan toimipiste,"Jurvalantie 7, 04250 Kerava","Jurvalantie 7, FI-04200 Kerava, Finland",address,60.40355,25.12,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella,,2014,Ei,Ei,Ei,10 000 – 100 000 €,Ei,ei ole ollut,1970,370
479,Savion koulu,"Juurakkokatu 33, 04260 Kerava","Juurakkokatu 33, FI-04260 Kerava, Finland",address,60.38266,25.09552,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"rakennusvuodet 1992, 2000",Sisäilmanlaadun tutkimuksilla,,2013,Ei,Ei,Ei,10 000 – 100 000 €,Ei,ei ole ollut,1992,416
480,Svenska skolan i Lahtis,"Teinintie 4, 15200 Lahti","Teinintie 4, FI-15200 Lahti, Finland",address,60.9889,25.68439,kosteus- ja homeongelma,,"Olemme isossa talossa, ongelmat eivät ole meidän tiloissa. Korjaustyöt ovat tehty. Uudet mittaukset parempia.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,"Koska ongelmat eivät olleet meidän tiloissa, en ole niin tietoinen kaikista tutkimuksista.",2013,Kyllä,Kyllä,Ei,10 000 – 100 000 €,En osaa sanoa,"Rakennus on ollut eri käytössä aikaisemmin ja toimii väliaikaisena ratkaisuna meille. Omistajat ovat vaihtuneet. Nyt talossa toimii neljä eri yksikköä, josta kolme yksityisiä.Yhteensä talossa on n. 350 lasta.",1962,68
481,Keravanjoen koulu Päivölänkaaren toimipiste,"Päivöläntie 16, 04220 Kerava","Päivöläntie 16, FI-04220 Kerava, Finland",address,60.41039,25.13711,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,2004,38
482,Keravanjoen koulu Jaakkolan toimipiste,"Jaakkolantie 8, 04250 kerava","Jaakkolantie 8, FI-04250 Kerava, Finland",address,60.39959,25.11808,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella,,2013,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,ei ole ollut,1964,365
483,Killan koulu,"Sarvimäentie 35, 04200 Kerava","Sarvimäentie 35, FI-04200 Kerava, Finland",address,60.4044,25.08301,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2013,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,ei ole ollut,1982,290
484,Keravan lukio ja aikuislukio,"Keskikatu 5, 04200 Kerava","Keskikatu 5, FI-04200 Kerava, Finland",address,60.40506,25.10067,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,rakennettu 1973<br />peruskorjaus ja laajennus 2009<br />,Sisäilmanlaadun tutkimuksilla,,2014,Kyllä,Kyllä,Ei,10 000 – 100 000 €,Ei,ei ole ollut,1973,617
485,Kurkelan koulu,"Käenkatu10, 04230 Kerava","Käenkatu 10, FI-04230 Kerava, Finland",address,60.41433,25.10657,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella,,2014,Ei,Kyllä,Ei,100 000 – 1 000 000 €,Ei,ei ole ollut,1987,168
486,Ahjon koulu,"Ketjutie 2, 04220 Kerava","Ketjutie 2, FI-04220 Kerava, Finland",address,60.39956,25.13983,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1990,281
487,Sompion koulu,"Aleksi Kiven tie 18, 04200 Kerava","Aleksis Kiven tie 18, FI-04200 Kerava, Finland",address,60.40033,25.09704,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,1949<br />laajennus 2006,Ei millään em. tavalla,,,,,,,,,1949,715
488,Hietaperän koulu,"Pohjoispuolentie 2091, 88900 Kuhmo","Pohjoispuolentie 2091, FI-88900 Kuhmo, Finland",address,64.19308,29.16456,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ilmanvaihtoon, korjattu viime vuonna",Sisäilmanlaadun tutkimuksilla,,2010,En osaa sanoa,Kyllä,Ei,0 – 10 000 €,Ei,,1938,32
489,Suur-Ahvenkosken koulu,"Pyhtäänkuja 1, 49270 Pyhtää","Pyhtäänkuja 1, FI-49270 Pyhtää, Finland",address,60.48928,26.52912,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kosteusproblematiikkaa alatalon pesutiloissa. Ei tiedossa homeongelmaa, mutta on vaikuttanut aistinvaraisesti ilman laatuun.<br /><br />Puutteellista ilmanvaihtoa sekä ylä- että alatalossa.<br /><br />Vuodenaikoihin liittyvää korkeaa sisälämpötilaa alatalossa.<br /><br />Ylärakennus rakennettu 1910, laajennettu 1924, peruskorjaus 1995<br />Alarakennus rakennettu 1932, laajennettu 1954, peruskorjattu ja laajennettu 1995",Muulla kuntoarviolla,Sisäilman laatua on aistinvaraisesti tutkittu.<br /><br />Alatalon kosteusongelmaa on ymmärtääkseni tutkittu myös rakenteellisesti.,2004,En osaa sanoa,Kyllä,Ei,,En osaa sanoa,"Ongelmia on pyritty melko tehokkaasti hoitamaan silloin, kun niitä on havaittu. Oireilu henkilökunnan  keskuudessa on ollut  vähäistä ja oppilaiden keskuudessa oireilua ei ole tullut tietoomme. Ongelmat on ennemminkin huomattu aistinvaraisesti ja niitä on hoidettu sitä mukaa.<br /><br />Sisäilman laatua on kohennettu tehostamalla ilmastointilaitteen käyttöä ja lisäämällä ilmastointimenetelmiä mm. opettajanhuoneeseen. Luokat myöskin tuuletetaan välituntiaikoina.<br /><br />Lämpötilaongelmaa on ratkaistu asennuttamalla kalvot alatalon ikkunoihin.<br /><br />Pesutilojen kosteusongelmaa on korjattu ainakin pari eri kertaa aiemmin, 2015 kesällä viimeiseksi. Aiemmat korjauskerrat eivät ole onnistuneet täysin, vaan ongelma on jatkunut. Viimeisin korjaus tuntuu ainakin tällä  hetkellä onnistuneen. Lisäksi alatalon salaojitus, patolevyt yms. on korjattu vastikään asianmukaiseksi.<br /><br />Koulu ei vastaa korjauksista vaan tekninen toimi, joten tarkemmat tiedot eivät ole saatavilla.",1910,49
490,Oitin koulu,"Koulunraitti 5, 12100 Oitti, Finland","Kouluraitti 5, FI-12100 Hausjärvi, Finland",address,60.7870849,25.02998,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kosteusongelma (kosteutta alapohjan rakenteen kautta - tutkittu ja korjattu, ei hometta)<br /><br />Ilmanvaihto ",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2012,Ei,Kyllä,Kyllä,10 000 – 100 000 €,Ei,,1954,243
491,Pargas svenska gymnasium,"Skolgatan 14, 21600 Pargas","Skolgatan 14, FI-21600 Pargas, Finland",address,60.30174,22.29127,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ljudlig ventilation. Högt undertryck i byggnaden.,Ei millään em. tavalla,Inomhusluftens kvalitet har inte undersökts på många år.,,,,,,,,1978,175
