id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
22,Hailuodon peruskoulu,"Luovontie 61a, 90480 HAILUOTO","Luovontie 61A, FI-90480 Hailuoto, Finland",address,65.01052,24.71168,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,2013,72
23,Kilpisjärven koulu,"Ahmapolku 27, 99490 Kilpisjärvi, Finland","Ahmapolku 27, FI-99490 Enontekiö, Finland",address,69.00775,20.87843,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,Koulumme on otettu käyttöön vasta 16.8.2015.,,,,,,,,2015,10
24,Kartanokoulu,"Vanhamaantie 26, 47200 Elimäki","Vanhamaantie 26, FI-47200 Kouvola, Finland",address,60.72133,26.45852,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Sisäilman heikko laatu aiheuttaa oireilua osassa henkilökuntaa, oppilaiden oireilu on vähäistä (syyksi oppilaiden vähäiseen oireiluun on arveltu liittyvän siihen, että oppilaat ovat koulupäivän aikana tuntimääräisesti vähemmän rakennuksen sisätiloissa kuin henkilökunta ja lisäksi opettajainhuone/kanslia sijaitsee heikkokuntoisessa rakennuksen siivessä, joissa oppilaat eivät oleskele).<br /><br />Koulurakennuksen katto on vuotanut lukuisista kohdista rakennusvuodesta 1990 lähtien. Vakavasta kosteusvauriosta ei kuitenkaan ole näyttöä. Rakennuksen matala kivijalka kostuu syksyisin ja keväisin ja sisäseinien alapinnalta maalia kuoriutuu.<br />",Ei millään em. tavalla,"Sisäilman kuitupartikkelien laskeumamittaus on tehty, lukemat ovat sallitussa rajoissa. Homeiden tunnistamiseen koulutetut koirat ovat nuuhkineet rakennuksen, eivätkä ne havainneet homeita.<br /><br />Lähikuukausina on tulossa uusi tutkimus asiassa.",2013,Ei,Ei,Ei,0 – 10 000 €,En osaa sanoa,"Perimmäiset syyt sisäilman heikkouteen ovat edelleen selvityksen alla. Syitä on todennäköisesti useita. Ei ole yksimielisyyttä siitä, mihin korjaustoimenpiteisiin olisi tarpeen ryhtyä. Mahdollisesti lähikuukausina tehtävä kartoitus selkeyttää tilannetta ja voidaan tehdä päätöksiä tarvittavista kunnostustoimenpiteistä.<br /><br />Yksi syy heikkoon sisäilmaan jo tiedetään ja se oli liiallinen pölyn määrä. Sisätilat siivottiin perusteellisesti ja koneellisen ilmanvaihdon hormistot nuohottiin v. 2014 (ensimmäisen kerran rakennuksen historiassa elo huoltotoimia on laiminlyöty). Sisäilman laatu parani hieman kyseisillä puhdistustoimenpiteillä. <br /><br />Nykyiseen alakoulukäyttöön rakennus otettiin v. 2007. Aiemmin rakennus oli ammattikorkeakoulun käytössä. Kun nykyiset käyttäjät havahtuivat sisäilmaongelmiin v. 2013, saatiin selville, että aiemmat käyttäjät olivat tehneet samankaltaisia havaintoja jo 1990 -luvun alkupuolelta lähtien, jolloin rakennus oli vain muutaman vuoden vanha.",1990,165
25,Kotalan koulu,Vironkoskentie 59 42870 Kotala,"Vironkoskentie 59, FI-42870 Virrat, Finland",address,62.26642,24.02823,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Kosteusongelmia oli aiemmin, mutta ei havaittu hometta.",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,,1990,Ei,Ei,Ei,0 – 10 000 €,Ei,,1959,28
26,Pirkkalan koulu,"Rantalankatu 1, 29200 Harjavalta","Rantalankatu 1, FI-29200 Harjavalta, Finland",address,61.33691,22.13591,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,Joka toinen vuosi,,,,,,,,1959,120
27,Pirkkalan koulu,"Rantalankatu 1, 29200 Harjavalta","Rantalankatu 1, FI-29200 Harjavalta, Finland",address,61.33691,22.13591,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1959,120
28,Nepenmäen koulu,"Tikkamäentie 17, 80200 Joensuu","Tikkamäentie 17, FI-80200 Joensuu, Finland",address,62.59226,29.78254,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Viime vuonna evakkoon niin lapset kuin aikuiset. Tänä vuonna koko kouluväki odottelemassa uutta koulua tilapäistiloihin tapahtuneen muuton jälkeen,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,14 vuotta ja kymmenkunta erilaista kuntoselvitystä.,2014,Kyllä,Ei,Kyllä,10 000 – 100 000 €,En osaa sanoa,Käyttöiän loppuvaiheessa. Uuden rakennuksen hankesuunnitelma ja piirustukset jo hyväksytty pari vuotta sitten. Prosessi etenee.,1978,350
29,Korian koulu,"Alakouluntie 16, 45610 Koria","Alakouluntie 16, FI-45610 Kouvola, Finland",address,60.84691,26.61116,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,"Tarkennus kohtaan koulun rakennusvuosi. Koulumme toimii yhteensä neljässä eri rakennuksessa, vanhin on valmistunut 1800-luvun puolella, uusin 1980-luvulla.",1889,366
30,Läyliäisten koulu,"Koulutie 3, 12600 Läyliäinen","Koulutie 3, FI-12600 Loppi, Finland",address,60.61679,24.4620399,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Sisäilmanlaadun tutkimuksilla; Ei millään em. tavalla,,,,,,,,,1950,153
31,Pilpalan koulu,"Hunsalantie 3, 12750 Pilpala","Hunsalantie 3, FI-12750 Loppi, Finland",address,60.62197,24.28559,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1950,33
32,Vöyrinkaupungin koulu,"Vuorikatu 11, 65100 Vaasa","Vuorikatu 11, FI-65100 Vaasa, Finland",address,63.10192,21.62202,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Yhdessä luokassa hajuhaitta, opettaja oireilee, ehkä johtuen tästä.<br />Asiaa tutkitaan talotoimen puolesta, johon rehtori on tehnyt ilmoituksen.",Ei millään em. tavalla,"Tullaan tarkentamaan, esim. puhaltamalla savua, jotta nähdään onko ilmavuotoa. Mittauksia ei syksyllä voi tehdä, koska pihalla kosteaa.<br />Tutkimukset aloitetaan kuitenkin selvittämällä ilmanvaihtoa, alipaineistusta ym.",2015,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,,1964,442
33,Hepola koulu,"Satamalehdontie 2, 94830 Kemi","Satamalehdontie 2, FI-94830 Kemi, Finland",address,65.68321,24.66611,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,"Tarkastukset kolmen vuoden välein, tosin ilmanvaihtokanavat puhdistettiin v.2014 ensimmäisen kerran sitten rakennusvuoden 1987, vaikka asia nostettiin esille jatkuvasti. Keittiössä toki purkaukset tehty 5v välein. Ilman laatu parantui 20prosenttia tuli vain ilmaa, ennen puhdistusta ja tällöin tulipalon vaara oli suuri. Ilmanvaihtokoneisto vanha vuodelta 1987, vaikka kunnostettu.",,,,,,,,1987,250
34,Rahjan koulu Kalajoki,Koulumäentie 23 85180 Rahja,"Koulumäentie 23, FI-85180 Kalajoki, Finland",address,64.19731,23.75583,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Talonmiehen asunnon saunaosastolla on ollut vesivahinko, mutta se ei ole päässyt leviämään varsinaisiin koulutiloihin",Rakennuksen kuntotutkimuksella,,,,,,,,,1982,45
35,Kirkonkylän koulu,"Aakkosentie 14, 35540 Juupajoki, Finland","Aakkosentie 14, FI-35540 Juupajoki, Finland",address,61.79066,24.45786,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1884,54
